Processor,Single Core,Multi Core,Price,TDP,URL
AMD Ryzen 5 4500,1562,6220,6100,65,https://zheleza.net/cpu/am4_cat/processor-amd-ryzen-5-4500-oem
Intel Core i3-10300,1537,4784,10280,65,https://zheleza.net/cpu/lga_1200/processor_intel_core_i3_10300_oem
Intel Core i5-10500,1527,5481,13020,65,https://zheleza.net/cpu/lga_1200/intel_core_i5-10500_oem
Intel Core i3-10105,1483,4343,9210,65,https://zheleza.net/cpu/lga_1200/intel-original-core-i3-10105-oem
Intel Core i3-10105F,1473,4532,5680,65,https://zheleza.net/index.php?route=product/product&path=502_2135&product_id=136078
Intel Core i5-10400F,1456,5767,8540,65,https://zheleza.net/cpu/lga_1200/processor_intel_core_i5_10400f
Intel Core i3-10100F,1452,4505,5330,65,https://zheleza.net/cpu/lga_1200/processor_intel_core_i3_10100f
Intel Core i5-10400,1445,5524,11570,65,https://zheleza.net/cpu/lga_1200/processor_intel_core_i5_10400_oem
Intel Core i3-10100,1436,4236,9210,65,https://zheleza.net/cpu/lga_1200/processor_intel_core_i3_10100
Intel Core i3-8300,1319,3758,14790,62,https://zheleza.net/cpu/lga1151-v2/intel-core-i3-8300-oem
AMD Ryzen 3 3200G,1074,3057,6240,35,https://zheleza.net/cpu/am4_cat/processor_amd_ryzen_3_3200g_oem
AMD Athlon 3000G,959,1966,3870,35,https://zheleza.net/index.php?route=product/product&path=502_1712&product_id=136079
AMD Athlon 200GE,918,1898,3390,35,https://zheleza.net/cpu/am4_cat/processor_amd_athlon_200ge_raven_ridge_am4_l3_4096kb_oem
Intel Celeron G5905,740,1260,3570,58,https://zheleza.net/cpu/lga_1200/processor_intel_celeron_g5905
Intel Celeron G5900,663,1045,4160,58,https://zheleza.net/cpu/lga_1200/processor_intel_celeron_g5900_oem
AMD Athlon X4 950,656,1621,4310,65,https://zheleza.net/cpu/am4_cat/processor_amd_athlon_x4_950_bristol_ridge_am4_l2_2048kb_
AMD A6-9500,653,954,4100,65,https://zheleza.net/cpu/am4_cat/amd-a6-9500-bristol-ridge
AMD A10-9700,647,1596,4820,65,https://zheleza.net/cpu/am4_cat/processor_amd_a10_9700_bristol_ridge_am4_l2_2048kb_
Intel Celeron G4930,643,1068,3570,54,https://zheleza.net/cpu/lga1151-v2/processor_intel_celeron_g4930
AMD A8-9600,613,1508,4610,65,https://zheleza.net/cpu/am4_cat/processor_amd_a8_9600_bristol_ridge_am4_l2_2048kb_
Intel Celeron G4900,605,1031,2860,54,https://zheleza.net/cpu/lga1151-v2/processor_intel_celeron_g4900_coffee_lake_3100mhz_lga1151_v2_l3_2048kb_
Intel Celeron G3900,585,999,1690,51,https://zheleza.net/cpu/lga1151-v2/processor-intel-celeron-g3900-oem
Intel Celeron G1820,492,840,5010,53,https://zheleza.net/cpu/s1150-cpu/intel_celeron_g1820_haswell_2700mhz_lga1150_l3_2048kb_
